person,content
Megawati,"Gubernur Jawa Tengah Ganjar Pranowo disebut justru mendapat perhatian dari partainya, PDIP usai ditegur soal pernyataan siap maju di pencalonan presiden 2024. Pengamat politik dari LIMA Indonesia, Ray Rangkuti menilai teguran tersebut mengisyaratkan Ganjar mulai mendapat perhatian dari partainya. ""Istilah saya itu pemanggilan Ganjar yang kemarin itu dengan sanksi hanya tegur lisan itu artinya hanya sanksi kasih sayang,"" kata Ray di diskusi Para Syndicate, Kamis (27/10).   Lebih lanjut, Ray menilai Ganjar mendapat setidaknya dua keuntungan dari teguran tersebut. Pertama, PDIP mulai membuka komunikasi dengan Ganjar setelah dua tahun ia diabaikan.  Pemanggilan Ganjar ke Kantor Pusat PDIP pada Selasa (26/10) menegaskan ia masih pengurus PDIP. ""Artinya Ganjar mempertegas kembali bahwa dia masih bagian dari rumah besar PDIP. Sebab kalau dia bukan dari bagian keluarga besar buat apa dia dipanggil,"" katanya. Kedua, Ganjar dalam pemanggilan itu tak diminta untuk menarik pernyataannya. Menurut Ray, pernyataan Ganjar siap maju dalam pencalonan presiden masih berlaku meski ia telah dijatuhi sanksi. Ray menilai, PDIP hanya meminta agar pernyataan itu tak diucapkan saat ini hingga ada pengumuman resmi dari Ketua Umum PDIP Megawati Soekarnoputri terkait capres.  ""Jadi pernyataan bahwa Ganjar tetap siap sebagai calon presiden itu berlaku sampai sekarang cuma dalam konteks strategi tidak tepat dilakukan sekarang,"" katanya. Ganjar sebelumnya dijatuhi sanksi ringan buntut pernyataannya siap maju sebagai capres. Hal itu ia utarakan saat menjawab pernyataan wartawan di salah satu media televisi swasta. "
Megawati,"Presiden Joko Widodo disebutkan telah berpesan agar PDIP tak terlalu lama menentukan calon presiden dan wakil presiden untuk Pemilihan Presiden (Pilpres) 2024. Menurut Sekretaris Jenderal (Sekjen) PDIP Hasto Kristiyanto Jokowi ingin PDIP tidak mengumumkan capres di detik-detik akhir atau mendekati masa pendaftaran ke KPU pada Oktober 2023. ""Persoalan capres dan cawapres itu nanti tiba momentumnya. Dan Pak Jokowi pun berpesan jangan lama-lama, maksudnya jangan mendekati Oktober,"" kata Hasto di kantor DPP PDIP, Jakarta, Rabu (26/10).    Hasto mengatakan PDIP masih melakukan kajian internal terkait sosok capres PDIP. Kajian dilakukan baik secara politik, sosiologis, dan mempertimbangkan hasil survei. Hasil kajian tersebut tetap akan diputuskan oleh Ketua Umum PDIP Megawati Soekarnoputri. Namun, Hasto menegaskan urusan pencalonan presiden dan wakil presiden saat ini masih berjalan dinamis. ""Kami terus melakukan kajian, baik secara politik, secara sosiologis juga hasil hasil survei,"" katanya.  Di sisi lain, PDIP belum lama ini menjatuhkan sanksi terhadap sejumlah kader terkait pernyataan dan dukungan soal pencalonan presiden. Sanksi dijatuhkan kepada Gubernur Jawa Tengah Ganjar Pranowo, Ketua DPC PDIP Solo FX Hadi Rudyatmo, dan beberapa anggota Fraksi PDIP di DPR yang membentuk 'Dewan Kolonel' untuk mendukung Puan Maharani. Mereka dianggap melangkahi wewenang Megawati soal pencalonan presiden dan wakil presiden di 2024. "
Megawati,"Ketua DPC PDIP Solo FX Hadi Rudyatmo memenuhi panggilan DPP PDIP pada Rabu (26/10). Ia diminta klarifikasi soal pernyataan kesiapannya mendukung Ganjar Pranowo jika maju sebagai calon presiden 2024. Hasilnya, Badan Kehormatan DPP PDIP menjatuhkan sanksi berat kepada Rudy. Ia diberikan peringatan keras dan terakhir dari partai karena dianggap sebagai kader senior yang semestinya lebih memahami aturan. ""Pak Rudy kader senior, tentu sanksi juga harus lebih berat, karena itu kita jatuhkan sanksi keras dan peringatan terakhir kepada FX Rudy,"" kata Ketua DPP PDIP Bidang Kehormatan Komaruddin Watubun dalam jumpa pers.    Anggota Komisi II DPR itu menilai pernyataan Rudy telah melangkahi wewenang Ketua Umum Megawati Soekarnoputri. Komaruddin memahami setiap kader boleh jadi memiliki jagoan sendiri untuk maju di pilpres. Namun, katanya, kader dilarang menyatakan dukungan tersebut sebelum ada instruksi ketua umum. ""Kita hanya siap barisan, ketika Ibu [Megawati] mengumumkan siapapun, cocok atau tidak cocok kita harus melaksanakan itu,"" katanya. FX Rudy menyatakan dirinya menerima dengan penuh tanggung jawab atas sanksi yang dijatuhi PDIP terhadap dirinya. Rudy mengatakan dirinya akan tetap menjalankan tugas sebagai Ketua DPC PDIP Solo. Ia berkomitmen untuk membawa kemenangan PDIP baik di tingkat legislatif maupun Pilpres sesuai arahan Megawati. ""Saya ke depan adalah untuk memenuhi momentum pemenangan pemilihan legislatif dan pemilihan presiden seusai dengan apa yang diputuskan oleh Ibu Ketum,"" katanya.  Sanksi terhadap Rudy itu jauh lebih berat dari Ganjar yang sehari sebelumnya, yaitu pada Selasa (25/10), juga dipanggil untuk diminta klarifikasi. Gubernur Jawa Tengah itu sempat menyatakan kesiapannya maju sebagai capres dalam wawancara dengan salah satu stasiun televisi swasta. Ganjar mendapatkan sanksi teguran lisan dari partai. Menurut Komaruddin, Ganjar dijatuhi sanksi ringan karena pernyataan itu disampaikan saat menjawab pernyataan wartawan. Komaruddin menilai Ganjar tak mendeklarasikan dirinya untuk maju di pilpres. Pernyataan itu dinilai tidak keliru, sebab setiap kader memang harus siap jika ditugaskan partai di manapun. Selanjutnya, PDIP bakal memanggil 'Dewan Kolonel' yang dibentuk sejumlah anggota Fraksi PDIP di DPR untuk mendukung Puan Maharani sebagai kandidat capres 2024. Komaruddin menyatakan PDIP tak pandang bulu dan menertibkan semua kader yang melangkahi wewenang Megawati soal pencalonan presiden PDIP. ""Kita sedang persiapkan untuk panggil gelombang berikutnya, tertibkan semua tanpa terkecuali,"" katanya. Adapun Dewan Kolonel terdiri dari 12 anggota DPR Fraksi PDIP dari 11 komisi. Mereka antara lain, Trimedya Panjaitan sebagai koordinator dari Komisi III, Junimart Girsang dari Komisi II, Hendrawan Supratikno, dan Masinton Pasaribu dari Komisi XI.  Sebelumnya, Sekjen PDIP Hasto Kristiyanto menyatakan partai telah menjatuhi sanksi keras kepada Dewan Kolonel. Pembentukan Dewan Kolonel dianggap tak sesuai AD/ART partai. Komaruddin pun mengatakan partai akan memanggil sejumlah anggota yang terlibat di Dewan Kolonel. Namun, dia memastikan Bidang Kehormatan tak akan memanggil Puan Maharani. Menurutnya, Dewan Kolonel inisiatif sejumlah kader dan dibentuk tanpa sepengetahuan Puan. Oleh karena itu, dia menilai Puan tak pernah terlibat soal pembentukan tim tersebut atau melangkahi kewenangan Mega. ""Mbak Puan sendiri tidak terlibat dalam proses itu mereka berinisiatif untuk melakukan itu, itu yang harus ditertibkan,"" katanya. "
Megawati,"Bidang Kehormatan DPP PDIP memastikan bakal memanggil Dewan Kolonel buntut dukungan mereka terhadap Ketua DPR Puan Maharani untuk Pemilihan Presiden (Pilpres) 2024. Hal itu disampaikan Ketua DPP PDIP Bidang Kehormatan, Komaruddin Watubun usai meminta klarifikasi dan menjatuhi sanksi kepada FX Hadi Rudyatmo di kantor DPP PDIP, Menteng, Jakarta Pusat, Rabu (26/10). Komaruddin menyatakan pihaknya tak akak pandang bulu dan menertibkan semua kader yang melangkahi wewenang Ketua Umum Megawati Soekarnoputri.   ""Kita sedang persiapkan untuk panggil gelombang berikutnya tertibkan semua tanpa terkecuali,"" katanya.  Dewan Kolonel merupakan kelompok informal yang dibentuk sejumlah anggota fraksi PDIP di DPR. Dewan Kolonel dibentuk untuk mendukung pencalonan Puan Maharani di Pilpres 2024. PDIP sebelumnya telah menjatuhi sanksi keras kepada Dewan Kolonel karena tak sesuai AD/ART. Menurut Komar, pihaknya akan memanggil sejumlah anggota Dewan Kolonel yang belum sempat dimintai keterangan soal tim tersebut. ""Orang tidak tahu itu tapi karena wartawan terbongkar ya sudah kita buka sebagai partai yang terbuka untuk umum,"" katanya. Meski begitu, Komar memastikan pihaknya tak akan memanggil Puan Maharani terkait keberadaan Dewan Kolonel. Menurut dia, Puan tak terlibat sebab tim tersebut dibentuk di luar sepengetahuan Puan. ""Mbak Puan sendiri tidak terlibat dalam proses itu mereka berinisiatif untuk melakukan itu, itu yang harus ditertibkan,"" katanya.   "
Megawati,"Ketua Dewan Pimpinan Cabang (DPC) PDIP Kota Solo FX Hadi Rudyatmo dikenai sanksi keras dan peringatan terakhir buntut pernyataannya mendukung Ganjar Pranowo untuk Pemilihan Presiden (Pilpres) 2024. Sanksi terhadap Rudy itu jauh lebih berat dari Ganjar yang sehari sebelumnya telah dijatuhi oleh partainya. Ganjar mendapat sanksi usai menyatakan siap jika dicalonkan maju di Pilpres 2024 oleh Megawati Soekarnoputri. ""Pak Rudy kader senior, tentu sanksi juga harus lebih berat, karena itu kita jatuhkan sanksi keras dan peringatan terakhir kepada FX Rudy,"" kata Ketua DPP PDIP Bidang Kehormatan Komaruddin Watubun di kantor pusat PDIP, Menteng, Jakarta Pusat, Rabu (26/10).   Komaruddin menjelaskan Rudy mendapat sanksi berat karena ia merupakan kader senior PDIP. Pernyataan Rudy dianggap melangkahi wewenang Ketua Umum Megawati Soekarnoputri usai menyatakan mendukung Ganjar.  Komaruddin memahami setiap kader partainya boleh jadi memiliki jagoan untuk didukung. Namun kader dilarang menyatakan dukungan tersebut sebelum ada instruksi dari Ketua Umum. ""Kita hanya siap barisan, ketika Ibu [Megawati] mengumumkan siapapun, cocok atau tidak cocok kita harus melaksanakan itu,"" katanya. Sedangkan, menurut Komaruddin, sanksi ringan terhadap Ganjar karena pernyataan Gubernur Jawa Tengah itu hanya menjawab pernyataan wartawan. Sebagai informasi, pernyataan Ganjar siap maju di Pilpres itu disampaikan di salah satu televisi swasta beberapa waktu lalu.  Komaruddin menegaskan, Ganjar tak mendeklarasikan dirinya untuk maju di Pilpres. Pernyataan itu dinilai tidak keliru sebab setiap kader memang harus siap jika diusung partai pada level apapun. ""Jadi tidak ada pelanggaran yang dilakukan waktu yang keras. Pak Rudy karena mengungkapkan calon kepada calon tertentu itu yang dilarang oleh keputusan kongres,"" katanya. ""Itu hanya bisa disampaikan Ibu Mega tentu pada waktunya. Jadi tidak salah juga disampaikan,"" tambah Komaruddin. "
Megawati,"Ketua Dewan Pimpinan Cabang (DPC) PDIP Kota Solo FX Hadi Rudyatmo menyatakan dirinya menerima dengan penuh tanggung jawab atas sanksi yang dijatuhi partai terhadap dirinya. Rudy dijatuhi sanksi buntut pernyataannya mendukung Ganjar Pranowo di Pilpres 2024 bila mendapat restu Ketua Umum Megawati Soekarnoputri. Dia mengatakan dirinya masih berkomitmen terhadap Ketua Umum partai. ""Sehingga dengan sanksi yang diberikan kepada saya sanksi keras dan terakhir itu pun saya terima dengan penuh tanggung jawab,"" kata Rudy di kantor DPP PDIP, Menteng, Jakarta Pusat, Rabu (26/10).   Rudy mengatakan dirinya akan tetap menjalankan tugas sebagai Ketua DPC PDIP Solo. Ia berkomitmen untuk membawa kemenangan PDIP baik di tingkat legislatif maupun Pilpres sesuai arahan Megawati.  ""Saya ke depan adalah untuk memenuhi momentum pemenangan pemilihan legislatif dan pemilihan presiden seusai dengan apa yang diputuskan oleh Ibu Ketum,"" katanya. Sanksi terhadap Rudy diberikan usai dirinya diminta keterangan oleh Sekretaris Jenderal (Sekjen) PDIP Hasto Kristiyanto bersama Ketua DPP PDIP Bidang Kehormatan Komaruddin Watubun. Rudy mendapat sanksi keras dan mendapat peringatan terakhir buntut pernyataannya. Menurut Komaruddin, Rudy melanggar hasil Kongres partai yang menyatakan bahwa kewenangan capres dan cawapres PDIP sepenuhnya hak prerogatif Ketua Umum Megawati Soekarnoputri. ""Pak Rudy kader senior, tentu sanksi juga harus lebih berat, karena itu kita jatuhkan sanksi keras dan peringatan terakhit kepada FX Rudy,"" kata Komaruddin dalam jumpa pers.  "
Megawati,"Ketua Dewan Pimpinan Cabang (DPC) PDIP Solo FX Hadi Rudyatmo dijatuhi sanksi keras dan mendapat peringatan terakhir buntut pernyataannya yang mendukung Ganjar Pranowo di Pemilihan Presiden (Pilpres) 2024. Hal itu disampaikan Ketua DPP PDIP Bidang Kehormatan Komaruddin Watubun usai menggelar pertemuan tertutup dengan Rudy di kantor DPP PDIP, Rabu (26/10). ""Pak Rudy kader senior, tentu sanksi juga harus lebih berat, karena itu kita jatuhkan sanksi keras dan peringatan terakhit kepada FX Rudy,"" kata Komaruddin dalam jumpa pers.   Komaruddin mengakui pemeriksaan terhadap Rudy oleh dirinya dan Sekretaris Jenderal (Sekjen) PDIP Hasto Kristiyanto berlangsung agak lama, terutama karena Rudy merupakan kader senior.  Namun, Komaruddin menyatakan dirinya harus tegas dan tanpa pandang bulu. Dia menilai Rudy telah melanggar keputusan Kongres Partai bahwa kewenangan soal pencalonan presiden dan wakil presiden adalah hak prerogatif Ketua Umum Megawati Soekarnoputri. ""Saudara dinyatakan melanggar keputusan kongres bahwa semua menyangkut capres cawapres adalah kewenangan Ketua Umum Bu Mega semua kader tertib tanpa kecuali,"" katanya. Dukungan oleh Rudy sebelumya ia sampaikan merespons pernyataan Ganjar di sebuah televisi swasta yang menyatakan siap maju di Pilpres 2024. Ganjar sendiri telah lebih dulu dimintai klarifikasi soal pernyataan kesiapannya maju di Pilpres 2024. Dia mendapat sanksi ringan berupa teguran lisan karena dianggap melangkahi wewenang Megawati.  "
Megawati,"Ketua Dewan Pimpinan Cabang (DPC) PDIP Solo FX Hadi Rudyatmo mengenakan seragam lengkap partai saat memenuhi panggilan ke kantor DPP PDIP, Jakarta, Rabu (26/10). Berdasarkan foto-foto yang dirilis PDIP dalam pertemuan, Rudy mengenakan seragam partai berwarna merah lengan panjang. Rudy disambut Sekretaris Jenderal PDIP Hasto Kristiyanto dan Ketua DPP PDIP Bidang Kehormatan Komaruddin Watubun. Ketiganya bertemu di sebuah ruangan yang menampilkan lukisan Ketua Umum PDIP Megawati Soekarnoputri. Rudy tiba di kantor DPP PDIP sekitar pukul 10.00 WIB. Ia terbang dari Solo sehari sebelumnya.   ""Gimana Mas. Sehat?"" tanya Hasto ke Rudy.  ""Sorry terlambat. Karena terima tamu dulu. Klarifikasi yang lain. Buka saja maskernya,"" lanjut Hasto sambil menawarkan air putih ke Rudy. Hingga berita ini ditulis, pertemuan masih berlangsung dan digelar secara tertutup. Adapun dalam pemanggilan hari ini, Rudy diminta klarifikasi soal pernyataan kesiapannya mendukung Ganjar Pranowo jika ditugaskan Ketua Umum PDIP Megawati Soekarnoputri sebagai calon presiden. Pernyataan itu disampaikan Rudy merespons pernyataan Ganjar di sebuah televisi swasta yang menyatakan siap maju di Pilpres 2024. Ganjar sendiri telah lebih dulu dimintai klarifikasi soal pernyataan kesiapannya maju di Pilpres 2024. Dia mendapat sanksi teguran lisan karena dianggap melangkahi wewenang Megawati.  "
Megawati,"Ketua DPC PDIP Solo FX Hadi Rudyatmo memastikan bakal menghadiri pemanggilan yang dilakukan oleh Dewan Pimpinan Pusat (DPP) PDIP di Kantor DPP PDIP, Jakarta, Rabu (26/10) esok. Rudy mengatakan bakal bertolak ke Jakarta hari ini. Pemanggilan itu buntut dari pernyataan Rudy yang mendukung Gubernur Jawa Tengah Ganjar Pranowo setelah menyatakan siap sebagai capres di Pilpres 2024.    ""Iya besok. Saya nanti berangkat ke Jakarta. Saya besok pukul 11.00 WIB dipanggil DPP. Iya hadir, kader dipanggil pimpinan ya hadir, datang,"" kata Rudy kepada CNNIndonesia.com, Selasa (25/10). Rudy mengaku tak ada persoalan dirinya dipanggil oleh DPP atas pernyataannya tersebut. Baginya, kader PDIP harus siap mendapatkan penghargaan maupun sanksi dari partai atas pelbagai kerja politiknya selama ini. Meski demikian, ia juga memastikan tetap berkomitmen untuk mendahulukan kepentingan bangsa dan negara ketimbang urusan pribadinya. ""Kader PDIP itu punya sikap dan punya komitmen untuk kepentingan bangsa dan negara harus lebih diutamakan dibandingkan kepentingan pribadi atau keluarga,"" katanya.  Sebelumnya, Sekretaris Jenderal PDIP Hasto Kristiyanto telah menjadwalkan pemanggilan Rudy pada Rabu esok. PDIP telah terlebih dulu memanggil Gubernur Jawa Tengah Ganjar Pranowo, Senin (24/10) kemarin. Hal itu dilakukan untuk meminta klarifikasi ihwal pernyataannya yang siap mencalonkan diri sebagai presiden. FX Rudy juga sempat melontarkan pernyataan siap mendukung penuh Ganjar jika maju sebagai capres. Namun, ia masih menunggu keputusan Megawati. ""Kalau Pak Ganjar siap nyapres dan Ketua Umum (Mega) memberikan rekomendasi, tidak hanya sejuta persen, kita berikan untuk memenangkan menjadi presiden,"" kata Rudy saat dihubungi Kamis, (20/10). "
SBY,"Peneliti Forum Masyarakat Peduli Parlemen Indonesia (Formappi) Lucius Karus menilai klaim data infrastruktur dan tudingan Pemilu 2024 curang justru akan merugikan Partai Demokrat.  Sebelumnya, Ketua Umum Partai Demokrat Agus Harimurti Yudhoyono (AHY) mengklaim pemerintahan era Presiden Jokowi hanya melakukan gunting pita karena cuma melanjutkan proyek pembangunan infrastruktur dari era Presiden keenam RI sekligus Ketua Majelis Tinggi Partai Demokrat Susilo Bambang Yudhoyono (SBY).   Sementara, SBY mengungkapkan potensi kecurangan di Pemilu 2024 lewat upaya hanya menghadirkan dua pasangan capres-cawapres.  ""Saya kira klaim infrastruktur maupun terkait dengan dugaan pemilu curang sejauh ini tidak menguntungkan partai yang menyampaikan itu ke publik,"" kata Lucius dalam sebuah diskusi di Jakarta, Sabtu (24/9). Ia memandang klaim data infrastruktur yang disampaikan AHY justru akan berdampak negatif bagi putra SBY itu sendiri. Menurutnya, pernyataan itu justru akan meningkatkan antipati terhadap AHY. ""Alih-alih kemudian dengan itu dia bisa mengambil lebih banyak pendukung Jokowi untuk kemudian masuk dalam gerbong Partai Demokrat, dengan justru mengklaim sesuatu yang tidak sesuai fakta atau data, dia justru mungkin akan mendapatkan antipati dari pendukung Jokowi,"" kata Lucius. Ia pun menyarankan Partai Demokrat menyusun ulang strategi pemenangan Pemilu 2024. Pasalnya, klaim data yang disampaikan AHY mudah diserang balik.  ""Karena itu saya pikir penting karena ini masih sangat jauh pemilunya penting untuk mengatur kembali strategi komunikasi strategi politik dari Partai Demokrat untuk memastikan dia tidak justru akan semakin dikerdilkan oleh karena klaim-klaim yang bisa dengan mudah dibantah dengan data yang ada sekarang ini,"" ujar Lucius. AHY sebelumnya juga menyindir program bantuan langsung tunai (BLT) merespons kenaikan harga BBM oleh Pemerintah Jokowi. ""Dulu dihina-hina BLT kita. 'Apa itu BLT, hanya untuk menghamburkan uang negara?' Dibilang kita tak punya cara lain. Padahal itulah cara yang bijaksana untuk membantu rakyat miskin,"" kata AHY pada Rapat Pimpinan Nasional (Rapimnas) Demokrat di Jakarta Convention Center, Jakarta Pusat, Kamis (15/9).  "
