person,content
Megawati,"Jakarta, CNN Indonesia -- Wakil Ketua Komisi III DPR RI Desmond Junaidi Mahesa menyampaikan permintaan maaf atas pernyataan dia yang menyentil PDIP dan Megawati Soekarnoputri terkait Presiden pertama RI Sukarno. Permintaan maaf Desmond itu disampaikan setelah dirinya digeruduk sejumlah kader dan simpatisan PDI Perjuangan ketika tengah kunjungan kerja di Purworejo, Jawa Tengah, Kamis (10/11). ""Saya meminta maaf atas tidak berkenannya atas statement saya, yang sepenuhnya bukan statement saya,"" kata Desmond dalam sebuah video yang diterima CNNIndonesia.com. Lihat Juga : Desmond Digeruduk Kader PDIP saat Makan Siang di Purworejo Powered by AdSparc Menurut Desmond, kata-katanya salah ditafsirkan di media-media. Politikus Partai Gerindra itu pun meminta maaf apabila pernyataannya membuat keluarga besar PDIP kecewa. ""Itu adalah output dari tulisan wartawan. Maka kesalahan-kesalahan yang membuat keluarga besar PDIP kecewa saya memohon maaf,"" jelas Desmond. Dalam rekaman video tersebut, salah seorang simpatisan PDI Perjuangan lalu menyela omongan Desmond. Menurut dia, Bung Karno bukan hanya milik PDIP Perjuangan. ""Bung karno bukan hanya milik PDI Perjuangan, Bung,"" kata salah satu simpatisan. ""Milik kami, Pak. Milik Gerindra (juga),"" jawa Desmond. Desmond sebelumnya mengatakan bahwa permintaan PDIP terlalu mengada-ngada agar negara meminta maaf kepada Presiden Sukarno buntut TAP MPRS Nomor 33 Tahun 1967. ""Kalau Sukarno direhabilitasi itu namanya mengada-ada,"" kata Desmond beberapa waktu lalu. Lihat Juga : Desmond Sentil Usul PDIP soal Sukarno: Masa Negara Harus Minta Maaf? Menurut Desmond permintaan itu muncul karena pemerintah saat ini merupakan bagian dari keluarga Sukarno. Sebab, kata dia, Jokowi juga merupakan petugas partai yang dipimpin Mega sebagai putri Presiden RI tersebut. ""Kalau Jokowi kan cuma petugas partai. Jadi, melaksanakan maunya Megawati habis itu negara minta maaf lagi sama Sukarno,"" tambahnya. Buntut pernyataan tersebut sejumlah kader dan simpatisan PDIP menggeruduk Desmond saat makan siang di sela kunjungan kerja bersama rombongan kolega parlemen di Purworejo. CNNIndonesia.com sudah berusaha menghubungi Desmond dan pihak PDIP untuk mengklarifikasi lebih lanjut soal penggerudukan di Purworejo tersebut namun belum mendapatkan respons. (dmi/gil)   Saksikan Video di Bawah Ini: VIDEO: Desmond Digeruduk Kader PDIP saat Makan Siang di Purworejo"
Megawati,"Jakarta, CNN Indonesia -- Presiden Korea Selatan, Yoon Suk Yeol, membahas sejumlah isu saat bertemu dengan Ketua DPR RI, Puan Maharani, dan Ketua Umum PDIP, Megawati Soekarnoputri, pada Kamis (10/11). Kantor pemerintah Korsel menyatakan bahwa dalam pertemuan di Korsel itu, ketiga pejabat itu membahas kerja sama antara kedua negara. Diberitakan Yonhap, Yoon mengatakan kepada Puan bahwa Indonesia merupakan satu-satunya negara di Asia Tenggara yang memiliki kemitraan strategis khusus dengan Korea Selatan. Wakil juru bicara kepresidenan Korsel, Lee Jae Myoung, mengatakan bahwa dalam pertemuan itu, Yoon juga meminta Puan agar parlemen Indonesia mendukung peningkatan ekonomi, keamanan, investasi, dan kerja sama lainnya di antara kedua negara. Pilihan Redaksi Presiden Rusia Putin Dipastikan Tak Hadiri KTT G20 Bali Media Rusia Sebut soal Risiko Putin Dibunuh jika ke KTT G20 Bali Permintaan itu sesuai dengan kesepakatan antara Yoon dan Presiden Joko Widodo (Jokowi) saat bertemu di Seoul pada Juli lalu. Lee Jae Myoung juga menyebut Yoon berharap dapat memperkuat hubungan bilateral dengan Indonesia dan relasi multilateral ketika ia berkunjung ke Bali untuk menghadiri KTT G20 pekan depan. Ia juga menyimpan harapan yang sama ketika melakukan lawatan kerja ke Kamboja untuk menghadiri KTT ASEAN mulai Jumat (11/11). ""Saya sangat mendukung kepemimpinan Indonesia sebagai ketua KTT G20 tahun ini dan KTT ASEAN tahun depan,"" kata Yoon, seperti dikutip Naver, Kamis (10/11). ""Saya berharap dengan menghadiri KTT G20, saya dapat berkontribusi untuk memperkuat hubungan antara Korea dan Indonesia."" Dalam kesempatan terpisah, ibu negara Korsel, Kim Keon Hee, juga turut bertemu dengan Puan saat makan malam. Lewat pertemuan itu, Kim meminta dukungan Indonesia ketika Korsel menjadi tuan rumah untuk World Expo 2030 di Busan. (blq/has)"
Megawati,"Jakarta, CNN Indonesia -- Dua kelompok relawan Ganjar meminta Ketua Umum PDIP Megawati Soekarnoputri memberikan restu kepada Gubernur Jawa Tengah Ganjar Pranowo untuk maju sebagai calon presiden (capres) 2024. Relawan Pemuda Nasional Deklarasi Ganjar Pranowo (Pendekar) dan Barisan Ibu-ibu Pendukung Ganjar (Binar) ingin Ganjar bertarung di Pilpres 2024. Lihat Juga : Relawan Pendekar dan Binar Deklarasi Ganjar Maju di Pilpres 2024 ""Kami juga meminta dengan hormat kepada Ibu Megawati, agar memberikan restu kepada kader terbaiknya, Ganjar Pranowo untuk meneruskan wisdom Ibu Megawati untuk memimpin bangsa ini,"" kata Koordinator Pendekar, Mandela Sinaga di Jakarta, Kamis (10/11). Mandela mengatakan pihaknya akan mengirimkan surat langsung kepada Megawati. Menurutnya, masa depan bangsa dan negara sangat bergantung pada keputusan Megawati. ""Saya akan bacakan kemudian surat ini akan kami tandatangani, dan akan kami kirimkan kepada Ibu Megawati Soekarnoputri untuk mendapatkan restu,"" katanya. Mandel menilai Ganjar sebagai sosok yang tepat untuk melanjutkan kepemimpinan Presiden Joko Widodo. Ia mengklaim Ganjar memiliki rekam jejak yang baik selama memimpin Jawa Tengah. ""Pertimbangan yang menjadi dasar dukungan kami adalah kinerja Ganjar di bidang reformasi birokrasi, pembangunan, kesehatan, pendidikan, dan ekonomi telah berdampak langsung pada komunitas kepemudaan dan perempuan,"" ujarnya. Lihat Juga : Jokowi Tak Hadir HUT NasDem Besok, Beri Ucapan Lewat Video PDIP hingga kini belum memberikan sinyal dukungan kepada Ganjar untuk maju sebagai capres 2024. Terbaru, politikus PDIP Sa'id Abdullah menyatakan partainya baru akan mengumumkan capres pada Juni 2023 mendatang. (thr/fra)   Saksikan Video di Bawah Ini: VIDEO: Ganjar Usai Dipanggil PDIP: Keputusan Ada di Ketua Umum"
Megawati,"Jakarta, CNN Indonesia -- Ketua DPR RI Puan Maharani memberikan penghormatan sekaligus menyampaikan ungkapan duka cita bagi para korban Tragedi Itaewon. Penghormatan itu dilakukan langsung Puan dan juga ibunya, Presiden kelima RI Megawati Soekarnoputri saat mengunjungi Seoul, Korea Selatan. Mengutip Antara, Kamis (10/11), Puan dan Megawati terlihat didampingi Duta Besar RI untuk Korea Selatan Gandi Sulistiyanto. ""Turut berduka cita sedalam-dalamnya atas musibah yang terjadi,"" tulis Puan pada buku tamu yang disediakan di memorial Tragedi Itaewon. Menurut Puan, Tragedi Itaewon menjadi pelajaran berharga bagi para penyelenggara acara yang melibatkan massa dalam jumlah banyak. Ads by ADVERTISEMENT ""Harus ada standar operasional keamanan untuk acara-acara yang mengundang kerumunan publik,"" kata dia yang juga Ketua DPP PDIP itu. Lihat Juga : Menyorot Beda Sikap Petinggi Polisi di Tragedi Kanjuruhan dan Itaewon Dia menambahkan tragedi yang berawal dari perayaan Halloween itu juga harus menjadi pelajaran bagi Indonesia, di mana kejadian serupa pernah terjadi beberapa waktu lalu di Stadion Kanjuruhan, Kabupaten Malang, Jawa Timur. ""Sekali lagi, saya mewakili masyarakat Indonesia mengucapkan turut berduka cita kepada seluruh warga Korea Selatan atas Tragedi Itaewon,"" tambahnya. Sebelum meletakkan karangan bunga di memorial tersebut, Puan dan Megawati berdoa terlebih dahulu bagi para korban Tragedi Itaewon. Tempat tersebut menjadi lokasi ungkapan duka cita dari para pemimpin-pemimpin dunia. Puluhan karangan bunga dari dunia internasional berjejer di lokasi memorial Tragedi Itaewon. Setelah meletakkan karangan bunga, Puan dan ibunya yang juga Ketua Umum PDIP itu  lantas menyusuri jalan di kawasan Itaewon. Mereka juga menyambangi gang yang menjadi titik pusat peristiwa memilukan terjadi saat perayaan Halloween pada 29 Oktober lalu. Dalam keterangan yang diterima di Jakarta, Kamis, masih banyak warga yang mendatangi lokasi kejadian untuk berdoa serta meletakkan bunga sebagai ungkapan duka cita. Terlihat pula catatan-catatan kecil yang ditempelkan warga dekat tempat publik meletakkan karangan bunga. Lihat Juga : TAP MPRS 33/1967 Dicabut, PDIP Harap RI Minta Maaf ke Keluarga Sukarno Sebelumnya, saat bertemu dengan Ketua Majelis Nasional Korea Selatan Kim Jin-pyo, Puan juga menyampaikan belasungkawa atas Tragedi Itaewon yang menewaskan 156 orang. Puan juga menyinggung pula perihal Tragedi Kanjuruhan. ""Saya ingin mengucapkan belasungkawa yang mendalam atas tragedi yang terjadi Itaewon pada tanggal 29 Oktober 2022 lalu. Tragedi serupa juga terjadi di Indonesia, di Stadion Kanjuruhan, awal bulan Oktober lalu,"" kata Puan. Hal tersebut, kata Puan, menunjukkan perlunya penguatan manajemen pengendalian massa pascapandemi serta diperlukan langkah preventif untuk mencegah kelebihan pengunjung di suatu acara. ""Ini diperlukan untuk mengendalikan euforia publik untuk berkumpul saat ini,"" ujar Puan. (Antara/kid)   Saksikan Video di Bawah Ini: VIDEO: Megawati Dan Puan Maharani Melawat ke Korsel"
Megawati,"Jakarta, CNN Indonesia -- Ketua Umum Partai Demokrasi Indonesia Perjuangan (PDIP) Megawati Soekarnoputri mengungkapkan bahwa ayahnya yang merupakan Presiden pertama RI, Sukarno alias Bung Karno, memiliki 26 gelar Doktor Honoris Causa. Sementara itu, ia mengaku sudah memiliki dua gelar profesor kehormatan, sembilan gelar Doktor Honoris Causa, dan masih menunggu lima gelar Doktor Honoris Causa lagi. Berangkat dari itu, Megawati pun menantang anaknya yang merupakan Ketua DPR RI, Puan Maharani untuk mengalahkan perolehan gelarnya tersebut. ""Sekarang saya masih menunggu lagi 5 [gelar Doktor Honoris Causa]. Karena itu saya katakan: ibu harus kamu kalahkan. Beliau [Puan] harus mengalahkan saya dapat gelar,"" kata Megawati usai Puan menerima gelar Doktor Honoris Causa dari Pukyong National University (PKNU), Korea Selatan (Korsel), sebagaimana tertuang dalam keterangan tertulis yang diterima CNNIndonesia.com, Senin (7/11). Lihat Juga : Tunggu 5 Gelar Lagi, Mega Ingin Puan Kalahkan Perolehan Honoris Causa Puan menerima gelar kehormatan Doktor Honoris Causa untuk bidang ilmu politik dari PKNU hari ini. Presiden PKNU, Jang Young-soo, mengatakan gelar tersebut diberikan berdasarkan kinerja Puan yang dinilai menghadirkan arah pembangunan masa depan yang menjanjikan bagi Indonesia. ""Ibu Puan juga mendorong perempuan Indonesia untuk berpartisipasi dalam tren global kesetaraan gender, dan menunjukkan kepemimpinan baru di seluruh Asia,"" tuturnya. Lihat Juga : Puan Maharani Terima Gelar Doktor Honoris Causa dari PKNU Korsel Sementara itu, Puan menyatakan gelar yang ia terima dari PKNU merupakan sebuah kehormatan sekaligus tanggung jawab bagi dirinya. Ia pun memohon doa dan dukungan agar diberikan kemudahan untuk menjalankan tanggung jawab itu. ""Alhamdulillah, kehormatan bagi saya mendapat gelar Doktor Honoris Causa bidang Politik dari Pukyong National University, Busan, Korea Selatan. Ini tanggung jawab yang besar, semoga dengan doa dan dukungan semua saya diberi kemudahan mengemban tanggung jawab ini,"" kata Puan dikutip dari keterangan foto yang diunggah Puan di akun Instagram miliknya, @puanmaharaniri, Senin (7/11). (mts/isn)   Saksikan Video di Bawah Ini: VIDEO: Megawati Dan Puan Maharani Melawat ke Korsel"
Megawati,"Jakarta, CNN Indonesia -- Presiden Joko Widodo terkekeh saat ditanya apakah calon presiden (capres) pilihannya di Pilpres 2024 sama dengan pilihan Ketua Umum PDIP Megawati Soekarnoputri. Sembari terkekeh, Jokowi menyampaikan seorang presiden tak punya wewenang menentukan capres. Dia berkata partai politik yang memiliki wewenang itu. ""Saya ulang ya bahwa yang namanya capres cawapres itu disiapkan oleh partai atau gabungan partai. Nanti yang milih rakyat, bukan saya,"" kata Jokowi di MNC Tower, Jakarta, Senin (7/11). Jokowi tak masalah jika ada pihak yang menduga dirinya mendukung salah satu kandidat. Ia pun tak masalah jika ada yang menganggap pernyataannya selama ini bentuk dukungan terhadap Prabowo Subianto. Lihat Juga : Jokowi Tak Masalah Dianggap Dukung Prabowo Maju Pilpres 2024 Meski demikian, ia kembali mengingatkan penentuan capres dilakukan partai politik. Dia juga berkata pilihan terakhir ada di tangan rakyat. ""Partai atau gabungan partai, yang milih rakyat sehingga sekali lagi hati-hati memilih capres dan cawapres,"" tuturnya. Sebelumnya, Jokowi dikaitkan dengan sejumlah kandidat presiden. Beberapa nama yang disebut mengantongi dukungan Jokowi adalah Prabowo Subianto dan Ganjar Pranowo. Meski demikian, Jokowi belum menyatakan dukungan langsung terhadap satu kandidat. Ia hanya memberi sinyal-sinyal lewat pidatonya. Undang-undang Pemilu pun mengatur capres dan cawapres hanua bisa diusung oleh partai politik atau gabungan partai politik. Pengusung capres-cawapres harus memiliki 20 persen kursi DPR RI atau 25 persen perolehan suara nasional pemilu sebelumnya. Lihat Juga : Jokowi Ingatkan Perindo: Hati-hati Pilih Capres (dhf/DAL)   Saksikan Video di Bawah Ini: VIDEO: Menteri Nyapres Tak Harus Mundur, Tapi Dievaluasi"
Megawati,"Jakarta, CNN Indonesia -- Ketua Umum PDIP Megawati Soekarnoputri mengaku pernah dituduh mendukung mantan Presiden Irak Saddam Hussein oleh mantan Presiden Amerika Serikat (AS) George Bush. Mega menyebut tuduhan itu dilontarkan Bush karena dia menentang rencana AS menyerang kilat Irak. Mega menyebut sebagai presiden saat itu, dia tak bisa membiarkan ada penyerangan terhadap negara lain. Lihat Juga : Megawati Klaim Pernah Dibilang Pintar oleh Presiden AS George Bush Hal itu disampaikan Mega dalam pidato virtualnya di seremoni pembukaan acara 'Bandung-Belgrade-Havana in Global History and Perspective', di Gedung ANRI, Jakarta, Senin (7/11). ""Tapi kan pada keadaannya ternyata waktu itu beliau agak sedikit marah, dia bilang begini, ""Kamu selalu bela Saddam Husein?"". Saya nggak bela Saddam Hussein, saya bela rakyat Irak, yang pasti apapun juga kan menderita,"" kata dia. ""Jadi kalau kamu berpikir bahwa kamu nggak cocok dengan Saddam Hussein, sudahkah ada ahli Islam-mu yang harusnya menerangkan, Saddam Husein itu siapa"" saya bilang begitu,"" imbuh Mega. Menurut Mega, AS seharusnya tidak bisa menyerang Irak tanpa persetujuan Perserikatan Bangsa-bangsa (PBB). Mega juga mempertanyakan maksud 'menyerang kilat' itu. ""Yang namanya kilat itu apa ya kalau dari strategi militer?"" itu yang saya tanya. 'Satu jam kah, satu hari kah, seminggu kah, sebulan kah?',"" ucapnya. ""Tapi akhirnya tetap saja toh diserang,"" imbuhnya. Lihat Juga : Politik Sepekan: Isu Ganjar-RK hingga Senior PPP Akan Dukung Anies Mega menilai PBB saat itu tidak bisa lagi meredam konflik. Apalagi dengan makin meningkatnya teknologi, termasuk sebagai ancaman senjata pemusnah seperti saat bom Hiroshima-Nagasaki. ""Jadi, alatnya itu harus cepat dan akibatnya massal, seperti kita tahu Hiroshima-Nagasaki itu percobaan, tapi telak ya dan sampai hari ini dampaknya masih sangat terlihat. Seperti apa rakyat Jepang yang tidak berdosa harus menerima penderitaannya, akibat radiasi,"" ujarnya. (yla/gil)   Saksikan Video di Bawah Ini: VIDEO: Megawati Dan Puan Maharani Melawat ke Korsel"
Megawati,"Jakarta, CNN Indonesia -- Presiden kelima RI Megawati Soekarnoputri mengklaim pernah dibilang 'pintar' oleh Presiden ke-43 Amerika Serikat (AS) George Bush saat mempertanyakan rencana Negara Paman Sam menyerang kilat Irak. Megawati mengungkapkan hal itu saat pidato secara virtual dalam acara pembukaan 'Bandung-Belgrade-Havana in Global History and Perspective' yang digelar di Gedung ANRI, Jakarta, Senin (7/11). Kala itu, kata Megawati, dirinya menyatakan AS tak bisa menyerang Irak tanpa persetujuan Perserikatan Bangsa-bangsa (PBB). Mega pun mengklaim mempertanyakan maksud AS 'menyerang kilat' itu. ""Yang namanya kilat itu apa ya kalau dari strategi militer?"" itu yang saya tanya. 'Satu jam kah, satu hari kah, seminggu kah, sebulan kah?',"" kata Megawati. ""Jadi kata Presiden George Bush pada saya, katanya begini, 'Kamu itu kok pintar ya Mega'. Saya diam saja, terus saya tanya, ""Kok kamu [Bush] bilang begitu?,"" imbuh dia yang juga dikenal sebagai Ketum PDIP itu. Lihat Juga : Politik Sepekan: Isu Ganjar-RK hingga Senior PPP Akan Dukung Anies Mega menyebut sebagai presiden RI saat itu, dia tak bisa membiarkan ada penyerangan terhadap negara lain. Dia membayangkan serangan itu akan seperti Blitzkrieg atau perang cepat dalam istilah Jerman di masa Perang Dunia II. ""Sebagai Presiden Republik Indonesia, karena saya tidak setuju bahwa sebuah negara akan melakukan sebuah penyerangan,"" ucap putri Presiden RI Sukarno itu. Mega mengaku saat itu jawaban Bush malah menilainya sedang membela penguasa Irak kala itu, Saddam Husein. Di satu sisi, dia menyatakan rencana AS menyerbu Irak akhirnya memang tak bisa dibendung. ""Tapi kan pada keadaannya ternyata waktu itu beliau agak sedikit marah, dia bilang begini, ""Kamu selalu bela Saddam Husein?"". Saya enggak bela Saddam Husein, saya bela rakyat Irak, yang pasti apapun juga kan menderita,"" kata dia. ""Tapi akhirnya tetap saja toh diserang,"" imbuh perempuan yang saat ini dikenal pula sebagai Ketua Dewan Pengarah Badan Pembina Ideologi Pancasila (BPIP) dan Ketua Dewan Pengarah Badan Riset dan Inovasi Nasional (BRIN)--dulu LIPI. Lihat Juga : Alasan Megawati Belum Umumkan Capres PDIP Meski Sudah Kantongi Nama (yla/kid)   Saksikan Video di Bawah Ini: VIDEO: Megawati Dan Puan Maharani Melawat ke Korsel"
Megawati,"Jakarta, CNN Indonesia -- Ketua Dewan Pimpinan Pusat (DPP) PDIP Ericko Sotarduga mengungkap alasan Ketua Umum partainya, Megawati Soekarnoputri tak kunjung deklarasi nama calon presiden meski sudah mengantongi nama capres mereka untuk Pilpres 2024. Eriko menyebut Mega sudah mengantongi nama capres PDIP untuk Pilpres 2024. Namun, saat ditanya alasan tak kunjung mengumumkan, Mega kata Eriko justru melontarkan pertanyaan apakah partainya telah siap. Lihat Juga : Ganjar Pranowo Dibidik KIB, PDIP Monitor Balik ""Saya sampaikan ke Ibu Ketua Umum, 'Bu kenapa kita tidak segera deklarasi. Padahal PDIP bisa maju dengan sendirinya',"" kata Eriko di Jakarta, Minggu (6/11). ""Dan beliau menyampaikan seperti ini, deklarasi kapan saja bisa memutuskan kapan saja bisa. Tapi apakah kita sudah siap. Ini juga penting,"" tambahnya. Oleh karena itu, menurut Eriko, partai saat ini masih melakukan persiapan tersebut. Terutama soal soal suara partai yang masih lemah di sejumlah daerah seperti di Jawa Barat dan Banten. ""Ambil dari kantong-kantong PDIP yang juga tergerus. Tadi di Jabar, di Banten. Ini kami sedang menyadari sepenuhnya,"" kata Eriko. Lihat Juga : Bambang Pacul Yakin Jokowi Tahu Balas Budi: Mustahil Kudeta Megawati Eriko meyakini penurunan elektabiitas di sejumlah daerah seiring penurunan kepuasan publik terhadap kinerja pemerintahan Presiden Jokowi. Dia maklum sebab Jokowi merupakan kader partainya. ""Artinya suka tidak suka apresiasi masyarakat atau hasil survei kepada bapak Jokowi berimbas kepada PDIP,"" katanya. Meski meyakini Mega sudah mengantongi sosok capres yang akan diusung, Eriko mengaku tidak tahu sosok yang akan dipilih Mega. Dia juga meyakini pilihan Mega tak akan berbeda dengan Jokowi. ""Tapi saya punya satu keyakinan. Saya punya praduga asumsi, tidak berbeda pilihan Pak Jokowi dengan Ibu Mega,"" kata Eriko. (thr/gil)   Saksikan Video di Bawah Ini: VIDEO: Menteri Nyapres Tak Harus Mundur, Tapi Dievaluasi"
Megawati,"Jakarta, CNN Indonesia -- Menteri Agama (Menag) Yaqut Cholil Qoumas kembali menemui Ketua Umum PDI Perjuangan Megawati Soekarnoputri di rumah pribadinya, Jalan Teuku Umar, Menteng, Jakarta Pusat, Jumat (4/11). Berdasarkan foto yang diunggah, Yaqut dan Megawati sama-sama duduk di sofa. Yaqut mengenakan batik cokelat. Sementara Megawati mengenakan pakaian batik bercorak warna merah muda. Lihat Juga : Megawati Cerita Banyak soal Gus Dur ke Menag Yaqut dan Gus Yahya Yaqut mengatakan pertemuan itu terjadi usai menghadiri forum Religion 20 atau R20 di Bali serta mengunggahnya di Twitter pribadinya. ""Kembali berkesempatan berdiskusi dengan Ibu Megawati Soekarnoputri sepulang dari R20 sore tadi,"" cuit Yaqut dalam akun Twitternya @YaqutCQoumas, Jumat (4/11). Yaqut memuji Megawati sebagai sosok ketum partai besar yang tetap rendah hati. Ia mengatakan pertemuan tersebut membahas soal situasi negara. ""Mendiskusikan situasi negara dan perkembangan sosial politik dengan tenang dan terukur,"" kata dia. Lihat Juga : Menag-Ketum PBNU Temui Megawati: Belajar Politik Tanpa Baper Bukan kali ini saja elite politik itu bertemu. Yaqut dan Megawati sempat bertemu pada awal April 2022 lalu di kediaman pribadi Megawati Jalan Teuku Umar Jakarta Pusat. Pada pertemuan kala itu, Yaqut turut ditemani kakaknya sekaligus Ketum PBNU Yahya Cholil Staquf. Yaqut kala itu mengaku bersyukur bisa kembali berdiskusi dengan Megawati. Dia berbincang selama dua jam mengenai kebangsaan dan politik. ""Saya belajar bagaimana cara berpolitik tanpa baper dan prasangka berlebihan,"" tambahnya. Lihat Juga : Gus Yahya: NU-PDIP Tak Sekadar Partner, Tapi Komponen Senyawa (rzr/pmg)   Saksikan Video di Bawah Ini: VIDEO: Desmond Digeruduk Kader PDIP saat Makan Siang di Purworejo"
